category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Education,"28 Jun, 2019",Medis Media,3D Organon,"win,mac",None,Mixed,117,"Simulation,Education,VR,Medical,Sim"
Simulation Games,"17 Jun, 2016",Z-Software GmbH,3D Pool,win,"38,70zł",Mixed,41,"Sports,Casual,Simulation,Pool,3D,Arcade,First-Person,Split,Screen,Family,Friendly,Physics,PvP,Free,to,Play,Multiplayer,Singleplayer,Local,Multiplayer,Snooker,Open,World,Choose,Your,Own,Adventure"
Simulation Games,"3 Aug, 2015",khos85,3D Paraglider,"win,mac,linux",None,Mixed,61,"Simulation,Action,Sports"
Action Games,"2 Mar, 2022",Mike Bushell,ARENA 3D,win,None,Positive,36,"Action,Indie,Casual,Multiplayer,Arcade,Music,Online,Co-Op"
Indie Games,"16 Dec, 2022",King Of Karma,Meteorites 3D,win,None,Positive,12,"Arena,Shooter,Bullet,Hell,Space,Sim,Arcade,3D,Controller,Action,Linear,Casual,Procedural,Generation,Cartoony,Pixel,Graphics,Stylized,Space,Survival,Physics,Cartoon,1980s,Retro,Singleplayer"
Action Games,"23 Oct, 2018",Blueshift Media,DEFENDER 3D,win,None,Positive,11,"Action,Casual,Indie,Strategy"
Casual Games,"1 Jul, 2020",GrassGames,Solitaire 3D,"win,mac,linux",None,Positive,13,"Casual,Card,Game,Strategy,Solitaire,Realistic,3D,Beautiful,Family,Friendly,Logic,Indie,Relaxing,Choices,Matter,Singleplayer"
Casual Games,"20 Apr, 2023",William at Oxford,3D Massage,win,"132,00zł",Positive,22,"Casual,3D,First-Person,Drama,Sexual,Content,Singleplayer,Nudity,Simulation,Adventure,RPG"
Sports Games,"4 May, 2021",Largemann,2D Baseball Duel,win,None,Mostly Positive,13,"Sports,Baseball,Local,Multiplayer,Physics,Arcade,Indie,Minimalist,2D,Multiplayer,Retro,Pixel,Graphics,Family,Friendly,eSports,Action,Relaxing,2D,Fighter,Abstract,Old,School,Stylized,Tactical"
Massively Multiplayer Games,"1 Feb, 2020",Celtos,Rebornia - MMORPG 2D,"win,linux",None,Mostly Positive,149,"Choose,Your,Own,Adventure,Dungeon,Crawler,PvP,PvE,Strategy,RPG,Party-Based,RPG,2D,Fighter,MMORPG,RPG,2D,Cute,Isometric,Top-Down,Post-apocalyptic,Horror,Dragons,Open,World,Colorful,Pixel,Graphics,Fantasy"
Indie Games,"18 Dec, 2020",High Level,Missing Features: 2D,win,None,Positive,11,"2D,Platformer,Platformer,2D,Cute,Controller,Linear,Pixel,Graphics,Family,Friendly,Game,Development,Programming,Adventure,Retro,Old,School,1990's,Singleplayer,Indie"
Action Games,"29 Sep, 2016",MahhaonArt-ArcadeSun Pixel,Merger 3D,win,None,Mixed,77,"Action,Indie,FPS,Pixel,Graphics,Retro,First-Person"
Action Games/HandyGames Franchise,"23 Oct, 2015",Kasaa Solution,Giana Sisters 2D,win,None,Mixed,224,"Indie,Platformer,Action,Female,Protagonist,Retro,Classic,2D,Singleplayer"
Indie Games,"8 Sep, 2017",Laush Dmitriy Sergeevich,2D Neon Cube,win,"10,80zł",Mixed,165,"Side,Scroller,2D,Platformer,Puzzle,Platformer,Difficult,Casual,Platformer,2D,Space,Sim,Survival,Relaxing,Action,Puzzle,Pixel,Graphics,Stylized,Atmospheric,Retro,Singleplayer,Indie,NSFW"
Adventure Games/Nifedow Games Franchise,"5 Feb, 2019",Nifedow Games,SmartyTale 2D,win,None,Very Positive,53,"Indie,Action,Adventure,2D,Pixel,Graphics"
Racing Games,"24 May, 2018",Applimazing,Ultimate Racing 2D,"win,mac,linux",None,Very Positive,504,"Racing,Simulation,Sports,Indie,Automobile,Sim,Top-Down,2D,Action,Casual,Multiplayer,Design,&,Illustration,Singleplayer,Arcade,Retro,Combat,Racing,Controller,Remake,4,Player,Local,Local,Multiplayer,Co-op"
Sports Games,"4 Jul, 2012",MDickie,Wrestling Revolution 2D,win,None,Very Positive,76,"Wrestling,Simulation,Sports,Indie,Cartoony,2D,Fighter,Character,Customization,Management,Choices,Matter,RPG,Action,Action,RPG,Beat,'em,up,2D,Immersive,Sim,Colorful,Comic,Book,Retro,Martial,Arts,Singleplayer"
Simulation Games,"13 Feb, 2018",PS Games,Marble Run 2D,"win,mac","100,38zł",Mostly Positive,16,"Side,Scroller,3D,Platformer,Puzzle,Platformer,FPS,Physics,Platformer,2D,Puzzle,Simulation,Colorful,Logic,Level,Editor,Retro,Singleplayer,Indie,Free,to,Play,Multiplayer,Local,Multiplayer,Nudity"
Indie Games,"15 Dec, 2019",Poolians.com,Pool 2D - Poolians,win,None,Very Positive,9343,"Free,to,Play,Pool,Multiplayer,Sports,Simulation,Massively,Multiplayer,Casual,Indie,Bowling,eSports,Co-op,Singleplayer,Tabletop,Board,Game,3D,Funny,PvP,2D,Psychological,Horror,Local,Co-Op"
Racing Games,"11 Sep, 2023",Applimazing,Ultimate Racing 2D 2,"win,mac,linux",None,Very Positive,362,"Racing,Top-Down,2D,Indie,Retro,Multiplayer,Local,Multiplayer,Arcade,Automobile,Sim,Simulation,Crafting,Combat,Racing,Sports,Driving,1990's,Split,Screen,Singleplayer,Controller,Asynchronous,Multiplayer,Vehicular,Combat"
Adventure Games,"12 May, 2024",Lycke04,2D?!,win,None,3 user reviews,3,"Early,Access,Open,World,Survival,Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel,Graphics,Crafting,Building,Exploration,Co-op,Open,World,Online,Co-Op,Indie,Action,RPG,Singleplayer,Replay,Value,Platformer"
Indie Games/RewindApp Franchise,"17 Oct, 2017",RewindApp,Golf 2D,win,None,Mixed,35,"Indie,Casual,Golf,2D"
Design & Illustration,"10 Jun, 2018",Brainchild,Space2D,win,None,Mostly Positive,16,"Design,&,Illustration,Animation,&,Modeling,Level,Editor,Space,Sim,Space,Visual,Novel,2D"
Action Games,"20 Apr, 2017",4Fufelz,Green Elephant 2D,win,None,Very Positive,281,"Early,Access,Action,Indie,Adventure,Violent,Memes,2D,Platformer,Psychological,Horror,Story,Rich,Difficult,Atmospheric,Great,Soundtrack"
RPG Games,"1 Jul, 2024",Teenyplx,Incursion2D,win,None,Mostly Positive,17,"Action,RPG,2D,Fighter,Action,RPG,Dungeon,Crawler,Hack,and,Slash,Real,Time,Tactics,2.5D,2D,Pixel,Graphics,Early,Access,Adventure,Indie,Dark,Fantasy,Fantasy,Medieval,Singleplayer,Action-Adventure,Top-Down,PvE"
Simulation Games,"1 May, 2019",2Dio,2D Paintball,win,None,Positive,10,"Action,Indie,Sports,Simulation,Strategy,Early,Access,2D"
Animation & Modeling,"5 Jan, 2023",PixelWorkshop,Px2d,win,None,Positive,11,"Software,Utilities,2D,Animation,&,Modeling,Pixel,Graphics"
Action Games,"24 Dec, 2004",Unreal Software,CS2D,"win,linux",None,Very Positive,9913,"Free,to,Play,2D,Shooter,Multiplayer,Action,Top-Down,Shooter,Casual,Indie,Top-Down,Zombies,FPS,Funny,Gore,Singleplayer,Pixel,Graphics,Survival,Strategy,Co-op,2D,Fighter,Competitive"
Action Games,"30 Jul, 2015",quad games,Stellar 2D,win,"2,24zł",Mixed,743,"Indie,Casual,Action,2D,Shoot,'Em,Up,Space"
Simulation Games,"20 Oct, 2023",redinator2000,Roody:2d,win,None,Positive,39,"Early,Access,Automation,Building,Programming,Resource,Management,Sandbox,Puzzle,Base,Building,Simulation,Crafting,Physics,Mining,Sokoban,Transportation,Open,World,Strategy,Logic,Procedural,Generation,Exploration,Underground"
Action Games,"1 May, 2023",tetrahydrofurangaijinfeima,2D Dogfight,win,None,Positive,23,"Flight,Wargame,Bullet,Hell,Military,Cold,War,Jet,Physics,Action,Simulation,Shooter,2D,Anime,Cartoony,Minimalist,Modern,Indie,Casual,Combat,Singleplayer,Strategy"
Utilities,"13 Sep, 2023",Raphiiko,OyasumiVR - VR Sleeping Utilities,win,None,Very Positive,206,"Utilities,VR,Software,Free,to,Play,Indie,Casual,Singleplayer"
Action Games,"14 Feb, 2025",180°,Voxel Project VR,win,None,Very Positive,136,"Destruction,VR,Voxel,Sandbox,Singleplayer,Physics,Combat,Realistic,First-Person,Action,Experimental,Moddable,Funny,Dark,Simulation,Casual,Exploration,Shooter,Driving,Building"
Indie Games,"2 Nov, 2016",Mihai Morosanu,Skater 2D,"win,mac,linux","34,99zł",Mixed,81,"Indie,Simulation,Sports,Skateboarding,2D"
Action Games/Half-Life Franchise,"23 Mar, 2020",Valve,Half-Life: Alyx,win,None,Overwhelmingly Positive,84976,"VR,FPS,Story,Rich,Horror,Female,Protagonist,Shooter,Singleplayer,First-Person,Action,Sci-fi,Atmospheric,Zombies,Beautiful,Aliens,Adventure,Futuristic,Psychological,Horror,Memes,Great,Soundtrack,Gore"
Action Games,"14 Jun, 2023",Risa Interactive,VR Giants,win,"131,18zł",Very Positive,144,"VR,Indie,Local,Co-Op,Co-op,3D,Platformer,Puzzle,Platformer,Physics,Local,Multiplayer,Platformer,Co-op,Campaign,Multiplayer,Asymmetric,VR,Puzzle,Online,Co-Op,Family,Friendly,Action,Funny,Early,Access,Adventure"
Simulation Games/HandyGames Franchise,"24 Mar, 2022",HandyGames,Townsmen VR,win,"224,77zł",Very Positive,396,"Simulation,Strategy,VR,Casual,Indie,City,Builder,God,Game,Early,Access,3D,Medieval,Building,Atmospheric,Family,Friendly,Resource,Management,Singleplayer,Experience,Funny,Sandbox,Exploration,Cartoony"
Simulation Games,"29 Aug, 2017",TREBUCHET,Prison Boss VR,win,None,Very Positive,324,"Simulation,Indie,VR,Crafting,Trading,Resource,Management,Funny"
Simulation Games,"16 Aug, 2018",Immersive VR Education Ltd,Titanic VR,win,"71,98zł",Very Positive,257,"Simulation,Action,VR,Underwater"
Adventure Games/Bloober Team SA Franchise,"12 Aug, 2021",Bloober Team SA,Blair Witch VR,win,"21,59zł",Mixed,168,"Adventure,Action-Adventure,Exploration,Cinematic,First-Person,Realistic,1990's,America,Atmospheric,Dark,Detective,Horror,Dog,Investigation,Psychological,Horror,Mystery,Thriller,Multiple,Endings,VR,Choices,Matter"
Sports Games,"18 Nov, 2020",Five Mind Creations,PowerBeatsVR - VR Fitness,win,None,Very Positive,433,"Sports,Action,Indie,Casual,VR,Rhythm,Music,Atmospheric,Singleplayer,Great,Soundtrack,Fast-Paced,Boxing,Music-Based,Procedural,Generation,Modern,Replay,Value,Difficult,Competitive,Immersive,Level,Editor,Early,Access"
Action Games/Funcom Franchise,"3 Oct, 2024",Lab42The Outsiders,Metal: Hellsinger VR,win,"194,54zł",Mostly Positive,74,"FPS,Rhythm,VR,Demons,Action-Adventure,Shooter,Score,Attack,Female,Protagonist,Singleplayer,First-Person,Action,Narration,3D,Dark,Dark,Fantasy,Fantasy,Adventure,Atmospheric,Cinematic,Combat"
Indie Games,"20 Jul, 2020",CM Games,Into the Radius VR,win,"166,48zł",Very Positive,9221,"VR,Extraction,Shooter,FPS,PvE,Surreal,Gun,Customization,Survival,Horror,Open,World,Post-apocalyptic,Atmospheric,Shooter,Singleplayer,Survival,Horror,Exploration,Realistic,First-Person,Indie,Action,Simulation"
Simulation Games/Big Cheese Studio Franchise,"29 Jul, 2021",GameBoom VR,Cooking Simulator VR,win,"129,58zł",Very Positive,1304,"Simulation,VR,Casual,Cooking,Physics,Singleplayer,3D,Realistic,Sandbox,Immersive,Sim,Psychological,Horror,Family,Friendly,Relaxing,Management,Multiplayer,First-Person,Funny,Replay,Value,Action,Economy"
Action Games,"25 Sep, 2020",Sinn Studio Inc.,Swordsman VR,win,"693,60zł",Mostly Positive,607,"VR,Action,Swordplay,Violent,RPG,Gore,Hack,and,Slash,Character,Customization,Fighting,Combat,Singleplayer,First-Person,Soundtrack,Medieval,Magic,Physics,Action,RPG,Realistic,Beat,'em,up,Horror"
Casual Games,"24 May, 2023",ForeVR Games Inc,ForeVR Bowl VR,win,None,Positive,12,"Sports,Bowling,PvP,PvE,Strategy,Arcade,Character,Customization,3D,Casual,First-Person,VR,Family,Friendly,Atmospheric,Physics,Multiplayer,Singleplayer,Immersive"
Simulation Games,"25 Jan, 2019",Altfuture,Derail Valley,win,"198,87zł",Overwhelmingly Positive,6962,"Early,Access,Trains,Simulation,Realistic,VR,Transportation,Driving,Open,World,First-Person,Physics,Immersive,Sim,Economy,Singleplayer,Resource,Management,Indie,Sandbox,Replay,Value,Adventure,Relaxing,Procedural,Generation"
Sports Games,"15 Jul, 2021",Mighty Coconut,Walkabout Mini Golf VR,win,"342,55zł",Overwhelmingly Positive,2869,"Sports,Golf,Mini,Golf,VR,PvP,3D,First-Person,Casual,Historical,Colorful,Minimalist,Stylized,Fantasy,Pirates,Multiplayer,Atmospheric,6DOF,Nature,Physics,Singleplayer"
Casual Games,"15 May, 2023",ForeVR Games Inc,ForeVR Pool VR,win,None,Mixed,34,"Sports,Pool,PvP,PvE,Strategy,Arcade,Character,Customization,Casual,VR,3D,First-Person,Family,Friendly,Atmospheric,Physics,Multiplayer,Singleplayer,Immersive,Early,Access"
Action Games,"17 Jun, 2024",WarpFrog,Blade and Sorcery,win,None,Overwhelmingly Positive,54294,"VR,Swordplay,Moddable,Sandbox,Gore,Magic,Action,Violent,Physics,Medieval,Simulation,Fighting,First-Person,Fantasy,Singleplayer,Adventure,RPG,Indie,Early,Access,Games,Workshop"
Racing Games/Codemasters Franchise Franchise,"25 Feb, 2019",Codemasters,DiRT Rally 2.0,win,None,Very Positive,35254,"Racing,Automobile,Sim,Simulation,Multiplayer,VR,Driving,Sports,Offroad,Realistic,Singleplayer,Difficult,First-Person,Controller,Open,World,Co-op,3D,Vision,Family,Friendly,TrackIR,Action,Adventure"
Casual Games,"28 Jun, 2023",ForeVR Games Inc,ForeVR Cornhole VR,win,None,Positive,27,"Casual,Strategy,Sports,Arcade,3D,First-Person,Comedy,Family,Friendly,Funny,Relaxing,PvP,Physics,Multiplayer,Singleplayer,Local,Multiplayer,VR"
Massively Multiplayer Games,"1 Feb, 2017",VRChat Inc.,VRChat,win,None,Mostly Positive,238442,"VR,Free,to,Play,Multiplayer,Anime,Memes,Funny,Massively,Multiplayer,First-Person,Open,World,Early,Access,Simulation,Casual,Adventure,MMORPG,Comedy,Sandbox,Dating,Sim,Survival,Horror,Action,Atmospheric"
Sports Games/Assetto Corsa Official Franchise,"16 Jan, 2025",KUNOS Simulazioni,Assetto Corsa EVO,win,"111,20zł",Mostly Positive,8657,"Early,Access,Racing,Simulation,Sports,Automobile,Sim,Driving,Realistic,VR,Multiplayer,Physics,Artificial,Intelligence,PvP,First-Person,Controller,Atmospheric,Singleplayer,eSports,3D,Vision,Replay,Value,TrackIR"
Indie Games,"21 May, 2019",Beat Games,Beat Saber,win,"204,22zł",Overwhelmingly Positive,68083,"VR,Rhythm,Music,Moddable,Fast-Paced,Singleplayer,First-Person,Difficult,Multiplayer,Indie,Swordplay,Action,Sports,Great,Soundtrack,Futuristic,Casual,Music-Based,Procedural,Generation,PvP,Games,Workshop,Early,Access"
Simulation,"1 Feb, 2024",HFRK.,VR Driver School,"win,mac,linux","50,98zł",Very Positive,311,"Indie,Simulation,Education,Software,Training,VR,Automobile,Sim,First-Person,Singleplayer,Driving,Physics,Immersive,Sim"
Action Games/PlayWay S.A. Franchise,"16 Aug, 2022",GameFormatic S.A.,Timberman VR,win,"24,32zł",Positive,28,"VR,Score,Attack,Rhythm,Ninja,Arcade,Action,Casual,Singleplayer,Colorful,Clicker,3D,Difficult,Funny,Cartoony,Comedy,First-Person,Sports,Cartoon,Satire,Family,Friendly"
Action Games,"15 Oct, 2024",HFRK.,VR Sailing,win,"50,98zł",Very Positive,102,"Racing,Simulation,Sailing,Sports,Action,Casual,VR,Immersive,Sim,Action-Adventure,Action,Roguelike,Indie,3D,Vision,Transportation,Driving,Singleplayer,6DOF,Physics,Asymmetric,VR"
Simulation Games,"12 Jul, 2022",Better Than Life,Kayak VR: Mirage,win,"69,99zł",Very Positive,897,"VR,Racing,Realistic,Simulation,Immersive,Sim,Nature,Physics,Relaxing,Arcade,Score,Attack,Exploration,Casual,Indie,Sports,Asynchronous,Multiplayer,Adventure,Linear,6DOF,Singleplayer,Multiplayer"
Racing Games,"20 Feb, 2024",Studio 397,Le Mans Ultimate,win,None,Mostly Positive,6619,"Racing,Automobile,Sim,VR,Driving,Multiplayer,Realistic,Immersive,Sim,Singleplayer,Early,Access,PvP,Simulation"
Action Games,"25 May, 2017",SUPERHOT Team,SUPERHOT VR,win,"104,97zł",Very Positive,7444,"VR,Shooter,Bullet,Time,FPS,Puzzle,Time,Manipulation,First-Person,Atmospheric,Cyberpunk,Action,Cinematic,Singleplayer,Sci-fi,Minimalist,Adventure,Artificial,Intelligence,Hero,Shooter,Combat,Old,School,Retro"
Racing Games/EA Sports Franchise,"30 May, 2025",Codemasters,F1® 25,win,None,,,"Racing,Sports,Simulation,PvP,Co-op,Online,Co-Op,Multiplayer,Singleplayer,Driving,Automobile,Sim,VR"
Adventure Games,"19 Feb, 2019",Indiecode Games,BAD BILLY 2D VR,win,None,Mixed,11,"Casual,Indie,Adventure,Free,to,Play,VR"
Simulation Games,"18 Mar, 2018",Eagle Dynamics SA,DCS World Steam Edition,win,None,Very Positive,36905,"Simulation,Flight,Free,to,Play,Military,Multiplayer,Realistic,VR,War,Open,World,Singleplayer,Shooter,Action,Co-op,Sandbox,TrackIR,First-Person,Tanks,Strategy,FPS,Massively,Multiplayer"
Action Games,"3 Aug, 2017","Boundless Dynamics, LLC",VTOL VR,win,None,Overwhelmingly Positive,17482,"Flight,VR,Simulation,Combat,Jet,Military,Realistic,War,Action,Vehicular,Combat,Physics,Naval,Combat,Artificial,Intelligence,Multiplayer,Singleplayer,First-Person,6DOF,Level,Editor,Futuristic,Sandbox"
Animation & Modeling,"4 Dec, 2017",Live2D Inc.,Live2D VR Girls,win,None,Very Positive,166,"VR,Animation,&,Modeling,Sexual,Content,Anime,Nudity,Psychological,Horror"
Captain Coffer 2D/Downloadable Content,"7 Apr, 2021",Oobeye Masterminds,Captain Coffer 2D Soundtrack,"win,mac",None,Positive,14,
Action Games,"19 Jan, 2018",NCC MooreSteve McRae,Super Steampunk Pinball 2D,"win,mac,linux","9,16zł",Positive,23,"Action,Casual,Pinball,Indie"
Simulation Games,"1 Dec, 2020",Daniel Viktorin,Subway Train Simulator 2D,win,None,Positive,23,"Simulation,Trains,Driving,Transportation,Exploration,Score,Attack,Top-Down,Pixel,Graphics,Colorful,Underground,Underwater,Management,Economy,Racing,2D,Linear,Minimalist,Singleplayer,Modern,Realistic"
Action Games,"19 Jan, 2024",Satoru Kawaguchi,TAKEUMA 2D,win,None,,,"Action,Adventure,Action-Adventure,2D,Platformer,Exploration,Side,Scroller,Pixel,Graphics,Fantasy,Retro,Indie,Nature,PvE,Singleplayer,2D"
Action Games,"1 Jun, 2024",Daniel Martínez Martínez-Pardo,SUBMARINES 2D,win,None,3 user reviews,3,"Submarine,Wargame,World,War,II,Funny,Arcade,Underwater,Action-Adventure,Naval,Combat,Combat,Racing,Combat,Action,Historical,Military,Destruction,Adventure,Survival,Racing,Singleplayer,1990's,Strategy"
Indie Games,"20 Dec, 2020",Łukasz Marciniak,2D Owen,win,None,2 user reviews,2,"Action,Platformer,Shooter,Arcade,2D,Platformer,Side,Scroller,Colorful,Cartoony,Retro,Indie,Linear,Singleplayer,2D"
Action Games,"6 Jul, 2022",Kyvati Studios,Blockhead 2D,win,None,1 user reviews,1,"Casual,Local,Multiplayer,Multiplayer,Beat,'em,up,4,Player,Local,Split,Screen,Singleplayer,Precision,Platformer,Battle,Royale,Action,Controller,Side,Scroller,PvP,Pixel,Graphics,2D,Platformer,Platformer,Indie,2D,Violent,Funny"
Indie Games,"13 Aug, 2018",Jacob Francis,Silentium 2D,win,None,4 user reviews,4,"Indie,Action,Free,to,Play"
Indie Games,Coming soon,Dominik SzopaErik Konarzewski,Rocket Jumper 2D,win,None,,,"Casual,Platformer,2D,Platformer,2D,Linear,Singleplayer,Racing,Indie"
Indie Games,December 2025,Gabriel Echevarria,Future Weapon 2D,win,None,,,"Action,Strategy,Action-Adventure,Space,Sim,Split,Screen,Collectathon,Exploration,Top-Down,Shooter,2D,Cute,Pixel,Graphics,Top-Down,Aliens,Atmospheric,Comedy,Crafting,Funny,Futuristic,Sci-fi,Space"
Indie Games,To be announced,wriks,Cunning Gauntlet 2D,win,None,,,"Surreal,Psychedelic,Flight,Arcade,2D,Action-Adventure,Perma,Death,Roguelike,Racing,Exploration,Gambling,Combat,Racing,2D,Platformer,Collectathon,Puzzle,Platformer,Puzzle,Platformer,Nonlinear,Open,World,Atmospheric"
RPG Games,"6 Mar, 2024",Max Loh,AI Roguelite 2D,win,None,Mixed,23,"Early,Access,Action,Roguelike,Hack,and,Slash,Roguelite,RPG,Action,RPG,Action-Adventure,Roguelike,2D,Top-Down,Exploration,Action,Loot,PvE,Sci-fi,Artificial,Intelligence,Procedural,Generation,Fantasy,Post-apocalyptic,Medieval"
Indie Games,"23 Jul, 2021",Kaizaki,Sur 2D Horror,win,None,Mixed,18,"Adventure,Survival,Horror,Psychological,Horror,Horror,Story,Rich,Dark,Stealth,Action-Adventure,Combat,Difficult,Gothic,Exploration,2D,Action,Pixel,Graphics,Atmospheric,Survival,Singleplayer,Indie,RPGMaker"
Indie Games,"5 Aug, 2019",peevasseeq games,SAMOSBOR 2D,win,"5,02zł",Mostly Negative,12,"Action,Indie"
Sports Games/Unusualsoft Franchise,"8 Sep, 2017",Unusualsoft,Ball 2D: Soccer Online,"win,mac","4,48zł",Mostly Positive,156,"Sports,Football,(Soccer),PvP,eSports,Multiplayer,Simulation,Arcade,Immersive,Online,Co-Op,Team-Based,Real,Time,Tactics,Character,Customization,Competitive,Hockey,Fast-Paced,Co-op,Colorful,Stylized,Action,Difficult"
Action Games,"2 Oct, 2023",Teelur Games,HordeFighter 2D,win,None,Mixed,22,"Early,Access,Action,Action,Roguelike,Arcade,Pixel,Graphics,Roguelike,Survival,Singleplayer,2D,2D,Fighter,Top-Down,Post-apocalyptic,PvE,Fantasy,Zombies,Nature,Medieval,Dark,Retro,Combat"
RPG Games,"5 Nov, 2023",Definya: 2D MMORPG Online,Definya 2D MMORPG,win,None,Mixed,60,"Early,Access,Action,Roguelike,Exploration,Tactical,RPG,Dungeon,Crawler,PvE,PvP,Action,RPG,MMORPG,RPG,2D,Choices,Matter,Open,World,Pixel,Graphics,Magic,Medieval,Trading,Crafting,Old,School,Retro"
Free To Play Games/Atari Franchise,"1 Aug, 2012",Ronimo Games,Awesomenauts - the 2D moba,"win,mac,linux",None,Very Positive,26725,"MOBA,Multiplayer,2D,Platformer,Action,Indie,Local,Co-Op,Co-op,Great,Soundtrack,Strategy,Free,to,Play,Controller,Local,Multiplayer,Sci-fi,Online,Co-Op,Competitive,Space,Side,Scroller,Cartoon,Funny"
Simulation Games,"20 Feb, 2022",Bigitec Studio,Muslim 3D,win,"189,53zł",Positive,20,"Early,Access,Exploration,Education,Cinematic,First-Person,Realistic,Stylized,Third,Person,Atmospheric,Emotional,Faith,Family,Friendly,Historical,Relaxing,Artificial,Intelligence,Character,Customization,Conversation,Open,World,Singleplayer,Simulation"
Simulation Games,"25 Jun, 2019",IO Games,Parking 3D,win,"54,97zł",Mostly Positive,14,"Puzzle,Relaxing,Score,Attack,Logic,Driving,Arcade,Difficult,Racing,Simulation,Automobile,Sim,Casual,Physics,Third,Person,3D,Stylized,Controller,Realistic,Singleplayer,Indie,Modern"
Casual Games,"14 Dec, 2021",zP1nG,2048 3D,win,None,Positive,10,"Casual,3D,Top-Down,Strategy,Singleplayer,Relaxing,Physics,Funny,Board,Game,Indie,Tabletop,Simulation,Realistic,Atmospheric,Management,Controller"
Adventure Games,"13 Sep, 2022",Femo Duo Entertainmentmausimus,Enclosure 3-D,"win,mac,linux",None,Positive,34,"Adventure,Mystery,Horror,Pixel,Graphics,3D,Text-Based,Retro,Old,School,Dark,Humor,Thriller,Action-Adventure,Detective,Funny,Parody,Snow,Story,Rich,Exploration,Atmospheric,Investigation,Dark"
Indie Games,"28 Mar, 2016",Matthew Coyle,Space Drifters 2D,"win,mac,linux",None,Mostly Positive,18,"Indie,2D,Space"
Casual Games,"7 Mar, 2022",William at Oxford,3D  Lover,win,"23,10zł",Mostly Positive,120,"3D,Casual,Sexual,Content,Simulation,Dating,Sim,Nudity,Realistic,First-Person,Drama,Emotional,Multiple,Endings,Singleplayer,Mature,VR"
Indie Games,"13 Jan, 2023",Sandra Moen,Terfenstein 3D,win,None,Mostly Positive,66,"FPS,Retro,Action,1990's,Old,School,Casual,Shooter,Pixel,Graphics,Dystopian,Female,Protagonist,First-Person,Post-apocalyptic,3D,2D,Dark,Fantasy,Dark,Humor,Sci-fi,War,Linear,Singleplayer"
Action Games,"5 Nov, 2014",Novalink,BLOCKADE 3D,win,None,Mixed,25578,"Free,to,Play,Shooter,Multiplayer,FPS,Action,Building,Zombies,Early,Access,Pixel,Graphics,Online,Co-Op,Survival,Sandbox,Co-op,3D,Vision,Massively,Multiplayer,Funny,Adventure,Open,World,Casual,Controller"
Action Games/Piko Interactive Franchise,"1 May, 2001",Shin'en MultimediaPiko Interactive,Iridion 3D,win,"61,08zł",Positive,13,"Action,Shoot,'Em,Up,Retro,Space,Cult,Classic,On-Rails,Shooter,Arcade,Sci-fi,Great,Soundtrack,Futuristic,Controller"
Software Training,"9 Jun, 2021",Skybox Technologies,Skybox3D,"win,mac,linux",None,Very Positive,123,"Strategy,Utilities,Education,Software,Training,3D,eSports,Real,Time,Tactics,Early,Access"
Simulation Games,"6 Dec, 2016",bumblebee,3D Chess,"win,mac,linux","38,70zł",Mixed,123,"Strategy,Casual,Simulation,Sports,Tabletop,Chess,Board,Game,Family,Friendly,Logic,2D,Fighter,Anime,PvP,Multiplayer,Singleplayer,Controller,Music,Psychological,Horror,Survival,War,Horror"
Action Games,"11 Dec, 2023",HEDGEWIZARDS,Pogo3D,"win,linux",None,Very Positive,101,"Precision,Platformer,3D,Platformer,Asynchronous,Multiplayer,Parkour,Racing,Platformer,Cute,Comedy,3D,Third,Person,Action,Funny,Linear,Cartoony,Family,Friendly,Adventure,Physics,Cartoon,Singleplayer,Character,Customization"
Animation & Modeling,"1 Nov, 2016",Vain Media LLC,3dSunshine,win,None,Very Positive,63,"Utilities,Early,Access,Animation,&,Modeling,Design,&,Illustration,VR,Free,to,Play"
Action Games/Nuntius Games Franchise,"18 Mar, 2025",BitLife,Sapo 3D,"win,mac",None,Very Positive,55,"3D,Platformer,1990's,3D,Vision,3D,Retro,Cute,Old,School,Pixel,Graphics,Nature,Adventure,Colorful,Linear,Casual,Collectathon,Singleplayer,Platformer,Family,Friendly,Indie,Stylized,Cats"
Action Games,"14 Jul, 2023",HeadHunters games,SharpShooter3D,win,None,Overwhelmingly Positive,1551,"Action,FPS,First-Person,Shooter,1990's,3D,Dystopian,Crime,Old,School,Dark,Retro,Political,Combat,Story,Rich,Nonlinear,Violent,Gore,Female,Protagonist,6DOF,Singleplayer"
Animation & Modeling,"7 May, 2015",Alex Hanson-White,Crocotile 3D,"win,mac,linux",None,Very Positive,182,"Animation,&,Modeling,Design,&,Illustration,Pixel,Graphics,3D,Software,Level,Editor,Game,Development,Retro,Building,Indie,Character,Customization"
Indie Games/sokpop Franchise,"7 Oct, 2020",Sokpop Collective,Fishy 3D,"win,mac","74,28zł",Very Positive,68,"Adventure,Puzzle,Exploration,Open,World,Collectathon,3D,Colorful,Nature,Family,Friendly,Cute,Atmospheric,3D,Platformer,Funny,Relaxing,Underwater,Nonlinear,Physics,Singleplayer,Action,Controller"
