category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Strategy Games/Honor Games Franchise,To be announced,Honor Games,ELDRIMAR: The Card Game,win,None,,,"Roguelike,Roguelike,Deckbuilder,Deckbuilding,Card,Battler,Card,Game,Adventure,Trading,Card,Game,Medieval,Fantasy,Combat,PvE,Magic,RPG,Side,Scroller,Strategy,Singleplayer,Dark,Fantasy,Atmospheric,3D,Roguelite"
Indie Games,Coming soon,Double EXP,Relics - The Card Game,win,None,,,"Trading,Card,Game,PvP,PvE,Turn-Based,Card,Game,Strategy,Deckbuilding,Casual,Stylized,Fantasy,Multiplayer,Singleplayer,Indie"
Strategy Games,To be announced,RumDrunkGames AB,Mutanoid - The Card Game,win,None,,,"Deckbuilding,Roguelike,Card,Battler,Turn-Based,Tactics,Team-Based,PvE,Casual,Post-apocalyptic,Comic,Book,Card,Game,Roguelite,Procedural,Generation,Strategy,Turn-Based,Combat,2.5D,2D,Dark,Humor,Choices,Matter,Multiple,Endings,Colorful"
Strategy Games,To be announced,Victor Arce,Sophistry: The Card Game,win,None,,,"Strategy,Card,Game,Trading,Card,Game,PvP,Deckbuilding,Card,Battler,Turn-Based,Strategy,Turn-Based,Combat,2D,Stylized,Historical,Philosophical,Parody,Funny,Colorful,Board,Game,Multiplayer,Singleplayer,Tabletop,Casual"
Strategy Games,2025,Pelican Games,Xalos: Collectible Card Game,win,None,,,"Card,Battler,Trading,Card,Game,Turn-Based,Tactics,PvP,Board,Game,Strategy,Card,Game,Turn-Based,Strategy,Cyberpunk,3D,Top-Down,Pixel,Graphics,Fantasy,Magic,Sci-fi,Robots,Aliens,Futuristic,Multiplayer,Singleplayer"
Free To Play Games,"31 Jul, 2023",武闘学園映像研究部,SUPER FIGHTING HEROES,win,None,Positive,10,"2D,Fighter,Fighting,Singleplayer,Action,Free,to,Play"
Action Games/Ranida Games Franchise,"11 Jun, 2019",Ranida Games,BAYANI - Fighting Game,win,"68,38zł",Very Positive,60,"Action,Indie,Early,Access,Fighting,Anime,Singleplayer,Arcade,eSports,Stylized,Destruction,Historical,Post-apocalyptic,PvP,Combat,Multiplayer,2D,Local,Multiplayer,3D,Adventure,Competitive"
Action Games,"13 Nov, 2023",Uncommon UTD,Pirate Fighting Simulator,win,None,Very Positive,806,"FPS,Action,Simulation,Pirates,PvP,Shooter,First-Person,Cartoony,Multiplayer,Combat,Local,Multiplayer,Free,to,Play"
Action Games,"23 Jun, 2022","CAPCOM Co., Ltd.",Capcom Fighting Collection,win,None,Very Positive,693,"Action,2D,Fighter,Arcade,Fighting,Puzzle,2D,1990's,Pixel,Graphics,PvP,Multiplayer,Singleplayer,Retro,Classic,Anime"
RPG Games,"1 Mar, 2024",Astra Playroom,Street Fighting Simulator,win,None,Positive,20,"Action,3D,Fighter,Memes,Funny,Simulation,Dark,Humor,RPG,Beat,'em,up,Adventure,Casual,Arcade,Anime,Side,Scroller,Combat,Atmospheric,Emotional,Controller,Hack,and,Slash,Martial,Arts,Singleplayer"
Action Games/ARIKA Franchise,"29 Nov, 2018",ARIKA,FIGHTING EX LAYER,win,None,Very Positive,630,"Action,Fighting,2D,Fighter,Arcade,Multiplayer,Anime,2.5D,Singleplayer"
RPG Games/Fighting Fantasy Franchise,"5 Jun, 2018",Tin Man Games,Fighting Fantasy Classics,"win,mac","239,61zł",Very Positive,316,"Choose,Your,Own,Adventure,RPG,Interactive,Fiction,Fantasy,Choices,Matter,Indie,Free,to,Play,Story,Rich,Text-Based,Adventure,Dungeons,&,Dragons,Singleplayer,Tabletop,Sci-fi,Fighting,Action,Old,School,CRPG,Cozy,Classic"
Casual Games,"25 Jan, 2020",Webfoot,Classic Card Game Mahjong,win,None,1 user reviews,1,"Casual,Sports,Racing,Card,Game,Turn-Based,Strategy"
Casual Games,"25 Jan, 2020",Webfoot,Classic Card Game Hearts,win,None,3 user reviews,3,"Strategy,Casual,Sports,Card,Game,Turn-Based,Strategy"
Action Games,"16 Sep, 2015",Jack Dolabany,Robot Exploration Squad,win,None,Positive,12,"Action,Adventure,Indie,Gore,Violent,Metroidvania,Platformer,Robots,Exploration,2D,Controller"
Free To Play Games,2025,Sammy Bunting,Arcane Treasures: Trading Card Game,win,None,,,"Trading,Card,Game,Fantasy,Multiplayer,Strategy,PvP,Turn-Based,Strategy,Free,to,Play,Indie,Card,Battler,Family,Friendly,Colorful,Cartoony,Cute,Board,Game,Card,Game,Tabletop,Turn-Based,Tactics"
Casual Games,"21 Jan, 2020",Webfoot,Classic Card Game Canasta,win,None,9 user reviews,9,"Strategy,Casual,Card,Game,Arcade,Card,Battler"
Casual Games,"13 Jan, 2020",Webfoot,Classic Card Game Spades,win,None,6 user reviews,6,"Casual,Strategy,Sports,Card,Game,Trading,Card,Game,Card,Battler"
Casual Games,"29 Jan, 2020",webfoot,Classic Card Game Euchre,win,None,7 user reviews,7,"Strategy,Casual,Sports,Card,Game,Turn-Based,Strategy"
